id,name,email,credits,createdAt
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,BANNED-pentester@banned.local,13937,2026-04-28 12:17:10.418
cmoim2mkq38azqo0fawlpitrp,test,bypass1@test.com,10,2026-04-28 12:37:31.467
cmoim2n8m38b4qo0fce3h08ke,test,bypass2@test.com,10,2026-04-28 12:37:32.326
cmoim5nzt38b9qo0futvry742,Fake User,doesnotexist@nonexistentdomain12345.com,10,2026-04-28 12:39:53.273
cmoj21o5038omqo0fgdgjpgri,BANNED-PenTest User,BANNED-cmoj21o5038omqo0fgdgjpgri@banned.local,0,2026-04-28 20:04:40.692
cmojaqpxc3a7xqo0fd6eis547,BANNED-NewPenTest2,BANNED-cmojaqpxc3a7xqo0fd6eis547@banned.local,0,2026-04-29 00:08:06.337
cmojaxg6p3a8gqo0foa1a4acs,BANNED-PT,BANNED-cmojaxg6p3a8gqo0foa1a4acs@banned.local,0,2026-04-29 00:13:20.305
cmojb0rg23a8rqo0fjef8rgy5,BANNED-PT,BANNED-cmojb0rg23a8rqo0fjef8rgy5@banned.local,0,2026-04-29 00:15:54.866
cmojb2bjy3a90qo0fuuweajoe,BANNED-PT,BANNED-cmojb2bjy3a90qo0fuuweajoe@banned.local,0,2026-04-29 00:17:07.582
cmojb4bjj3a99qo0f9qzg96p2,BANNED-PT,BANNED-cmojb4bjj3a99qo0f9qzg96p2@banned.local,0,2026-04-29 00:18:40.88
cmojb6chd3a9kqo0f14wrd4r5,BANNED-PT,BANNED-cmojb6chd3a9kqo0f14wrd4r5@banned.local,0,2026-04-29 00:20:15.41
cmojb8icj3a9vqo0fhvfimba3,BANNED-PT,BANNED-cmojb8icj3a9vqo0fhvfimba3@banned.local,0,2026-04-29 00:21:56.323
cmojbb4ct3aa8qo0f3v95genq,BANNED-PT,BANNED-cmojbb4ct3aa8qo0f3v95genq@banned.local,0,2026-04-29 00:23:58.157
cmojbba2i3aafqo0f6tq0zpqf,BANNED-check,BANNED-cmojbba2i3aafqo0f6tq0zpqf@banned.local,0,2026-04-29 00:24:05.563
cmojbbaqd3aakqo0fq8iog7vz,BANNED-check,BANNED-cmojbbaqd3aakqo0fq8iog7vz@banned.local,0,2026-04-29 00:24:06.421
cmojbbbe93aapqo0fxqji30d9,BANNED-check,BANNED-cmojbbbe93aapqo0fxqji30d9@banned.local,0,2026-04-29 00:24:07.282
cmojbbbzp3aauqo0f7neklcsl,BANNED-check,BANNED-cmojbbbzp3aauqo0f7neklcsl@banned.local,0,2026-04-29 00:24:08.054
cmojbbcjt3aazqo0fra5hibz7,BANNED-check,BANNED-cmojbbcjt3aazqo0fra5hibz7@banned.local,0,2026-04-29 00:24:08.778
cmojbbd7s3ab4qo0fbdlh1z4i,BANNED-check,BANNED-cmojbbd7s3ab4qo0fbdlh1z4i@banned.local,0,2026-04-29 00:24:09.64
cmojbbdve3ab9qo0f7nsgxhwf,BANNED-check,BANNED-cmojbbdve3ab9qo0f7nsgxhwf@banned.local,0,2026-04-29 00:24:10.491
cmojbbej23abeqo0fi0d89h9n,BANNED-check,BANNED-cmojbbej23abeqo0fi0d89h9n@banned.local,0,2026-04-29 00:24:11.342
cmojbbf5u3abjqo0f6wohbevr,BANNED-check,BANNED-cmojbbf5u3abjqo0f6wohbevr@banned.local,0,2026-04-29 00:24:12.163
cmojbujlj3abqqo0f5sy6hlxi,BANNED-PT,BANNED-cmojbujlj3abqqo0f5sy6hlxi@banned.local,0,2026-04-29 00:39:04.375
cmojbuvuv3abvqo0foxcdx5ou,BANNED-PT,BANNED-cmojbuvuv3abvqo0foxcdx5ou@banned.local,0,2026-04-29 00:39:20.264
cmojruf1j3avoqo0fv8so7vpk,BANNED-Test User,BANNED-cmojruf1j3avoqo0fv8so7vpk@banned.local,0,2026-04-29 08:06:52.327
cmojsajj73aw9qo0fzewj9b3t,BANNED-Test User3,BANNED-cmojsajj73aw9qo0fzewj9b3t@banned.local,0,2026-04-29 08:19:24.643
cmojsk4a03awuqo0ffg02gezn,BANNED-Test User4,BANNED-cmojsk4a03awuqo0ffg02gezn@banned.local,0,2026-04-29 08:26:51.432
cmojsuo463ay7qo0fwdzpb1zp,BANNED-Test5,BANNED-cmojsuo463ay7qo0fwdzpb1zp@banned.local,0,2026-04-29 08:35:03.702
cmojt581m3aysqo0fu9r1tf3h,BANNED-Farm,BANNED-cmojt581m3aysqo0fu9r1tf3h@banned.local,0,2026-04-29 08:43:16.09
cmojtgrs13az3qo0fba5v67mr,BANNED-ssrf-test,BANNED-cmojtgrs13az3qo0fba5v67mr@banned.local,0,2026-04-29 08:52:14.882
cmojvl9hc3b5iqo0fojc586sh,BANNED-test,BANNED-cmojvl9hc3b5iqo0fojc586sh@banned.local,0,2026-04-29 09:51:43.681
cmojvvmmu3b61qo0f3ngf56sk,data-test,data30929@deltajohnsons.com,10,2026-04-29 09:59:47.286
